Year,LFS Name,Persistent Identifier,DOI in Dataverse (2022 backwards to 2006),Replace with /path ,File Descrtiption,Title > Additions,Revision Note in Metadata: Citation > Descriptions,Revision Additions > Notes,Replace w/File Name,File ID (.tab),Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,,,,
2016,[DEMO] May 2016,doi:10.80240/FK2/JJBCKP,https://demo.borealisdata.ca/dataset.xhtml?persistentId=doi:10.80240/FK2/JJBCKP,I:\Ethan\data_LFS_REBASED\micro2016-rebased2023\05-May2016.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_May_2016.sav,,,,,,,,,,,
,,,,,, ,summary statement of changes including variable removed and additions and other catagories changes. 1-2 paragraphs,LFS revisions short description these were revised. (2 sentence summary),,,,,,,,,,,,
2022,January 2022,doi:10.5683/SP3/4CUKTF,http://doi.org/10.5683/SP3/4CUKTF,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\01-Jan2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_January_2022.sav,624677,,,,,,,,,,
2022,February 2022,doi:10.5683/SP3/MYJH8E,http://doi.org/10.5683/SP3/MYJH8E,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\02-Feb2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_February_2022.sav,,,,,,,,,,,
2022,March 2022,doi:10.5683/SP3/HVNTH5,doi.org/10.5683/SP3/HVNTH5,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\03-Mar2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_March_2022.sav,,,,,,,,,,,
2022,April 2022,doi:10.5683/SP3/8M4NTF,doi.org/10.5683/SP3/8M4NTF,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\04-Apr2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_April_2022.sav,,,,,,,,,,,
2022,May 2022,doi:10.5683/SP3/SDVI8N,doi.org/10.5683/SP3/SDVI8N,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\05-May2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_May_2022.sav,,,,,,,,,,,
2022,June 2022,doi:10.5683/SP3/YO5MSG,doi.org/10.5683/SP3/YO5MSG,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\06-Jun2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_June_2022.sav,,,,,,,,,,,
2022,July 2022,doi:10.5683/SP3/OHSMB7,doi.org/10.5683/SP3/OHSMB7,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\07-Jul2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_July_2022.sav,,,,,,,,,,,
2022,August 2022,doi:10.5683/SP3/2XFV6N,doi.org/10.5683/SP3/2XFV6N,I:\Ethan\data_LFS_REBASED\micro2022-rebased2023\08-Aug2022.zip,2023 Revisions,"[Rebased, 2023 Revisions]","<br><br><br>
<u>2017 Changes to the LFS PUMF</u>
<br><br>
Beginning in 2017, several variables in the LFS PUMF were added, expanded, reintroduced, removed, or collapsed. These changes have been retroactively applied as of the LFS 2023 revisions. Below is a summary of these changes:
<br><br>
The variable (CMA) has been expanded from 3 CMAs to 9 CMAs. 
The variables (NOC_10) and (NOC_40) were reintroduced. (Note: Beginning with the 2023 LFS revisions, (NOC_40) has been replaced with (NOC_43)).
A new variable (IMMIG) was added.
The variable (LFSSTAT) has been collapsed from six categories down to four categories.
The variables (NAICS_18) and (NAICS_43) have been replaced by the single variable (NAICS_21).
The variable (AGYOWNK) has been collapsed from six categories down to four categories.
The variable (SCHOOLN) has been collapsed from nine categories down to three categories.
Fourteen variables relating to family/spousal labour force characteristics have been removed: (EFAMSIZE), (EFAMEMPL), (EFAMUNEM), (SP_AGE), (SP_LFSST), (SPED7689), (SPED1990), (SP_SOC80), (SP_NOCS01), (SP_UHRSM), (SP_COWM), (SCH1624).
Eight variables have been removed for being out of date: 
(ED76to89), (NAICS_18), (SOC80_21), (SOC80_49), (NOCS_01_25), (NOCS_01_47), (WHYPTOLD), (YNOLKOLD).","<br><br><br>
Labour force survey data was revised in 2023.<br><br>
Labour force surveys are revised on a periodic basis, either to adopt the most recent geography, industry and occupation classifications; to use new observations to fine-tune seasonal adjustment factors; or to introduce methodological enhancement.<br><br>
If older versions of the LFS are required, a list of prior versions of the LFS data set can be found under the Versions tab.<br><br>
The first major change of the LFS 2023 revisions was a transition to the National Occupational Classification (NOC) 2021 V1.0, with all LFS series from 1987 onwards having been revised to the NOC 2021 V1.0. The second major revision were methodological enhancements to LFS data processing, with all LFS series from Jan 2006 onwards having received these changes.<br><br>
The third major change was a revision of seasonal adjustment factors, with the revisions applied to LFS series Jan 2002 onward.",LFS_August_2022.sav,,,,,,,,,,,
